sessionID,command_id,distance,direction,anomalyScore,isAnomaly
CLI-20260723-001024,2,0.266239,2.62377,8.50027e-05,0
CLI-20260723-001024,3,0.733808,-1.86722,0.121069,1
CLI-20260723-001024,4,0.687254,-2.30378,0.113085,1
CLI-20260723-001024,5,0.249783,-2.75471,0.114749,1
CLI-20260723-001024,6,1.55819,1.97821,0.10636,1
CLI-20260723-001024,7,1.50053,-0.210942,0.117247,1
CLI-20260723-001024,8,0.579895,-0.802871,0.135359,1
CLI-20260723-001024,9,1.45519,1.98285,0.114382,1
CLI-20260723-001024,10,1.86316,0.341909,0.133198,1
CLI-20260723-001024,11,1.80234,-1.98395,0.118431,1
CLI-20260723-001039,2,0.842206,1.39122,0.000103985,0
CLI-20260723-001039,3,1.47741,0.145505,0.128823,1
CLI-20260723-001039,4,0.651578,1.70238,0.114549,1
CLI-20260723-001039,5,1.83426,0.058481,0.118332,1
CLI-20260723-001039,6,1.78515,0.490778,0.115392,1
CLI-20260723-001039,7,0.705327,-0.771484,0.123942,1
CLI-20260723-001039,8,0.58835,-1.64817,0.120615,1
CLI-20260723-001039,9,1.55037,2.67758,0.118335,1
CLI-20260723-001039,10,1.42963,-0.996904,0.119284,1
CLI-20260723-001039,11,1.86482,3.10924,0.120006,1
CLI-20260723-001054,2,1.86082,-0.45816,2.15628e-05,0
CLI-20260723-001054,3,0.123421,1.61441,0.110579,1
CLI-20260723-001054,4,0.924031,-1.0526,0.11144,1
CLI-20260723-001054,5,0.055722,-2.84898,0.116572,1
CLI-20260723-001054,6,0.232016,0.104099,0.12818,1
CLI-20260723-001054,7,0.686148,2.47609,0.114354,1
CLI-20260723-001054,8,1.28834,-2.29501,0.116559,1
CLI-20260723-001054,9,1.72321,1.5544,0.118576,1
CLI-20260723-001054,10,0.346793,0.423689,0.13058,1
CLI-20260723-001054,11,0.751652,2.43882,0.117272,1
CLI-20260723-001109,2,1.05552,-1.93569,8.56086e-06,0
CLI-20260723-001109,3,1.24794,2.1806,0.176545,1
CLI-20260723-001109,4,1.01188,2.5722,0.120291,1
CLI-20260723-001109,5,1.09661,-1.30592,0.115749,1
CLI-20260723-001109,6,0.556381,1.64143,0.108003,1
CLI-20260723-001109,7,0.781975,0.491263,0.126131,1
CLI-20260723-001109,8,1.80748,1.0847,0.147683,1
CLI-20260723-001109,9,0.23829,-1.73904,0.125308,1
CLI-20260723-001109,10,0.954689,1.87536,0.115813,1
CLI-20260723-001109,11,1.64249,-1.69226,0.119065,1
CLI-20260723-001124,2,0.789907,2.70478,0.000169837,1
CLI-20260723-001124,3,1.25609,2.56462,0.207485,1
CLI-20260723-001124,4,0.674563,-2.40224,0.113709,1
CLI-20260723-001124,5,0.155382,2.66752,0.114131,1
CLI-20260723-001124,6,1.11759,-2.05428,0.117238,1
CLI-20260723-001124,7,1.34665,0.379533,0.117256,1
CLI-20260723-001124,8,1.4594,-0.904139,0.125736,1
CLI-20260723-001124,9,0.710859,0.781416,0.129762,1
CLI-20260723-001124,10,0.571585,-2.70869,0.115944,1
CLI-20260723-001124,11,1.57349,-1.279,0.121312,1
CLI-20260723-001140,2,0.441751,1.89515,0.000235083,1
CLI-20260723-001140,3,0.871066,-1.00753,0.20829,1
CLI-20260723-001140,4,0.785078,1.73345,0.11374,1
CLI-20260723-001140,5,0.382872,-1.00622,0.114623,1
CLI-20260723-001140,6,0.4205,2.10727,0.109502,1
CLI-20260723-001140,7,0.92692,-1.5406,0.118347,1
CLI-20260723-001140,8,1.73151,0.271581,0.118943,1
CLI-20260723-001140,9,1.27662,2.6113,0.109555,1
CLI-20260723-001140,10,0.546157,-0.836738,0.132025,1
CLI-20260723-001140,11,1.77152,0.192585,0.138207,1
CLI-20260723-001159,2,0.15282,1.74755,0.000229566,1
CLI-20260723-001159,3,0.779705,-3.03025,0.224075,1
CLI-20260723-001159,4,1.6113,-0.275711,0.1216,1
CLI-20260723-001159,5,0.340743,-2.95015,0.11675,1
CLI-20260723-001159,6,1.66,-1.84841,0.116534,1
CLI-20260723-001159,7,1.44565,-2.13423,0.117131,1
CLI-20260723-001159,8,1.62701,1.56318,0.114269,1
CLI-20260723-001159,9,1.0948,0.030286,0.133432,1
CLI-20260723-001159,10,0.079578,2.83538,0.115326,1
CLI-20260723-001159,11,1.61683,-2.06418,0.120754,1
CLI-20260723-001214,2,0.2673,1.15044,4.27016e-05,0
CLI-20260723-001214,3,0.482934,-1.89942,0.22519,1
CLI-20260723-001214,4,0.411708,-2.91627,0.113765,1
CLI-20260723-001214,5,0.194681,0.864028,0.114328,1
CLI-20260723-001214,6,1.69399,2.92787,0.110332,1
