sessionID,command_id,distance,direction,anomalyScore,isAnomaly
CLI-20260723-005456,2,0.266239,2.62377,1.23043,1
CLI-20260723-005456,3,0.733808,-1.86722,2.05331,1
CLI-20260723-005456,4,0.687254,-2.30378,1.9097,1
CLI-20260723-005456,5,0.249783,-2.75471,1.10892,1
CLI-20260723-005456,6,1.55819,1.97821,6.99003,1
CLI-20260723-005456,7,1.50053,-0.210942,6.93757,1
CLI-20260723-005456,8,0.579895,-0.802871,1.57946,1
CLI-20260723-005456,9,1.45519,1.98285,6.37665,1
CLI-20260723-005456,10,1.86316,0.341909,0.000102559,0
CLI-20260723-005456,11,1.80234,-1.98395,3.28844,1
CLI-20260723-005524,2,0.842206,1.39122,6.14652e-05,0
CLI-20260723-005524,3,1.47741,0.145505,0.000160684,0
CLI-20260723-005524,4,0.651578,1.70238,0.000369639,0
CLI-20260723-005524,5,1.83426,0.058481,8.77144e-05,0
CLI-20260723-005524,6,1.78515,0.490778,5.02621e-05,0
CLI-20260723-005524,7,0.705327,-0.771484,0.000161857,0
CLI-20260723-005524,8,0.58835,-1.64817,0.00033473,0
CLI-20260723-005524,9,1.55037,2.67758,0.000165031,0
CLI-20260723-005524,10,1.42963,-0.996904,0.000181966,0
CLI-20260723-005524,11,1.86482,3.10924,8.38169e-05,0
CLI-20260723-005539,2,1.86082,-0.45816,9.74537,1
CLI-20260723-005539,3,0.123421,1.61441,1.86664,1
CLI-20260723-005539,4,0.924031,-1.0526,3.13567,1
CLI-20260723-005539,5,0.055722,-2.84898,2.70468,1
CLI-20260723-005539,6,0.232016,0.104099,0.000142801,0
CLI-20260723-005539,7,0.686148,2.47609,0.439576,1
CLI-20260723-005539,8,1.28834,-2.29501,5.1712,1
CLI-20260723-005539,9,1.72321,1.5544,6.09367e-05,0
CLI-20260723-005539,10,0.346793,0.423689,0.000234471,0
CLI-20260723-005539,11,0.751652,2.43882,0.247864,1
CLI-20260723-005557,2,1.05552,-1.93569,3.75371,1
CLI-20260723-005557,3,1.24794,2.1806,4.82074,1
CLI-20260723-005557,4,1.01188,2.5722,3.35783,1
CLI-20260723-005557,5,1.09661,-1.30592,4.15777,1
CLI-20260723-005557,6,0.556381,1.64143,1.35218,1
CLI-20260723-005557,7,0.781975,0.491263,0.000116282,0
CLI-20260723-005557,8,1.80748,1.0847,0.000131948,0
CLI-20260723-005557,9,0.23829,-1.73904,0.000322144,0
CLI-20260723-005557,10,0.954689,1.87536,0.00015852,0
CLI-20260723-005557,11,1.64249,-1.69226,0.000159645,0
CLI-20260723-005610,2,0.789907,2.70478,2.0963,1
CLI-20260723-005610,3,1.25609,2.56462,4.52253,1
CLI-20260723-005610,4,0.674563,-2.40224,1.47021,1
CLI-20260723-005610,5,0.155382,2.66752,1.43638,1
CLI-20260723-005610,6,1.11759,-2.05428,4.25187,1
CLI-20260723-005610,7,1.34665,0.379533,0.000434809,0
CLI-20260723-005610,8,1.4594,-0.904139,2.13651,1
CLI-20260723-005610,9,0.710859,0.781416,0.000129308,0
CLI-20260723-005610,10,0.571585,-2.70869,9.06132e-05,0
CLI-20260723-005610,11,1.57349,-1.279,4.77999,1
CLI-20260723-005638,2,0.441751,1.89515,1.24359,1
CLI-20260723-005638,3,0.871066,-1.00753,2.83833,1
CLI-20260723-005638,4,0.785078,1.73345,2.18302,1
CLI-20260723-005638,5,0.382872,-1.00622,1.38605,1
CLI-20260723-005638,6,0.4205,2.10727,1.21769,1
CLI-20260723-005638,7,0.92692,-1.5406,3.11219,1
CLI-20260723-005638,8,1.73151,0.271581,0.000122576,0
CLI-20260723-005638,9,1.27662,2.6113,0.00020764,0
CLI-20260723-005638,10,0.546157,-0.836738,0.000158884,0
CLI-20260723-005638,11,1.77152,0.192585,0.000133666,0
CLI-20260723-005721,2,0.15282,1.74755,1.70387,1
CLI-20260723-005721,3,0.779705,-3.03025,2.13078,1
CLI-20260723-005721,4,1.6113,-0.275711,7.55895,1
CLI-20260723-005721,5,0.340743,-2.95015,1.10507,1
CLI-20260723-005721,6,1.66,-1.84841,7.85027,1
CLI-20260723-005721,7,1.44565,-2.13423,6.28462,1
CLI-20260723-005721,8,1.62701,1.56318,9.77981e-05,0
CLI-20260723-005721,9,1.0948,0.030286,0.000110825,0
CLI-20260723-005721,10,0.079578,2.83538,0.000362357,0
CLI-20260723-005721,11,1.61683,-2.06418,0.00015951,0
CLI-20260723-005748,2,0.2673,1.15044,0.000453479,0
CLI-20260723-005748,3,0.482934,-1.89942,0.289141,1
CLI-20260723-005748,4,0.411708,-2.91627,1.13848,1
CLI-20260723-005748,5,0.194681,0.864028,0.000314936,0
CLI-20260723-005748,6,1.69399,2.92787,6.31605,1
CLI-20260723-005748,7,1.42488,-2.55383,5.96886,1
CLI-20260723-005748,8,1.14887,-0.74475,2.40228,1
CLI-20260723-005748,9,0.862256,-1.03014,2.81107,1
CLI-20260723-005748,10,0.123107,1.27182,0.000267804,0
CLI-20260723-005748,11,1.29742,0.048727,0.000232294,0
CLI-20260723-005809,2,0.59251,0.232634,0.000173707,0
CLI-20260723-005809,3,1.35715,-1.46409,4.91264,1
CLI-20260723-005809,4,1.78267,1.19408,0.000323611,0
CLI-20260723-005809,5,1.60072,-1.08346,0.000264704,0
CLI-20260723-005809,6,0.794869,-3.0277,7.25226e-05,0
CLI-20260723-005809,7,0.758872,-0.303374,0.206674,1
CLI-20260723-005809,8,1.12524,2.16116,9.69236e-05,0
CLI-20260723-005809,9,0.110327,1.32028,0.000639171,0
CLI-20260723-005809,10,1.95904,2.9568,1.57296,1
CLI-20260723-005809,11,0.915771,-0.14735,4.94015e-05,0
CLI-20260723-005823,2,1.31911,0.842494,2.77932e-05,0
CLI-20260723-005823,3,1.9439,2.94316,2.3911,1
CLI-20260723-005823,4,0.870424,1.61196,0.741429,1
CLI-20260723-005823,5,1.19886,0.992827,8.54451e-05,0
CLI-20260723-005823,6,1.42934,1.96843,0.000145796,0
CLI-20260723-005823,7,0.97556,2.90997,2.7255,1
CLI-20260723-005823,8,1.58428,-0.79958,3.41555e-05,0
CLI-20260723-005823,9,1.24558,2.41481,5.99003e-05,0
CLI-20260723-005823,10,1.79014,0.283499,7.66008e-05,0
CLI-20260723-005823,11,1.06838,2.31414,0.000146652,0
CLI-20260723-010121,2,11.0602,1.11024,0.000538732,0
CLI-20260723-010121,3,0.446713,-1.89226,0.000191083,0
CLI-20260723-010121,4,5.13675,-2.16469,0.00016152,0
CLI-20260723-010121,5,1.43655,-2.53391,0.000187102,0
CLI-20260723-010121,6,5.70909,0.326981,0.000113747,0
CLI-20260723-010121,7,3.45708,-1.32331,0.000178658,0
CLI-20260723-010121,9,4.20571,0.852531,0.000153287,0
CLI-20260723-010121,10,5.72286,3.07577,9.62205e-05,0
CLI-20260723-010121,11,0.529899,-1.15954,0.000128657,0
CLI-20260723-010136,2,4.75443,0.97665,0.000172772,0
CLI-20260723-010136,3,3.73708,0.385587,0.000116163,0
CLI-20260723-010136,4,3.32884,3.12612,9.52227e-05,0
CLI-20260723-010136,5,0.75439,-2.45265,0.000176744,0
CLI-20260723-010136,6,6.54974,-0.290763,0.00021542,0
CLI-20260723-010136,7,2.72085,2.59262,0.000243825,0
CLI-20260723-010136,8,2.33495,1.6494,7.41755e-05,0
CLI-20260723-010136,9,4.89613,-3.01922,9.00492e-05,0
CLI-20260723-010136,10,0.915981,2.3751,0.000235464,0
CLI-20260723-010136,11,1.96945,-0.155305,8.57994e-05,0
CLI-20260723-010158,2,3.21638,0.246905,8.05462e-05,0
CLI-20260723-010158,3,2.02806,2.73642,0.000152401,0
CLI-20260723-010158,4,7.03202,1.43933,4.76509e-05,0
CLI-20260723-010158,5,1.52135,-0.611849,0.000132581,0
