timestamp,source,sessionID,current_function,current_command,filename,parent_id,current_id,x,y,distance,direction,distance_moved,instruction_pointer,stack_pointer,frame_pointer,rax,rbx,rcx,rdx,rsi,call_depthobstructed?call_depth,response_time(ns)
20260723-001054,server,CLI-20260723-001054,handle_request()RECEIVED_MOVE,move, ,1,8,0.0126641,0.211213,1.28834,-2.29501,0.3,107003457019046,140722033805128,140722033805136,140722033805264,140722033805264,130832008863872,3,140722033806232,n/a,8, 
20260723-001054,server,CLI-20260723-001054,handle_request()RECEIVED_MOVE,move, ,1,9,0.0126641,0.211213,1.72321,1.5544,0,107003457019046,140722033805128,140722033805136,140722033805264,140722033805264,130832008863872,3,140722033806232,n/a,9, 
20260723-001054,server,CLI-20260723-001054,handle_request()RECEIVED_MOVE,move, ,1,10,0.04136,1.96098,0.346793,0.423689,1.75,107003457019046,140722033805128,140722033805136,140722033805264,140722033805264,130832008863872,3,140722033806232,n/a,10, 
20260723-001054,server,CLI-20260723-001054,handle_request()RECEIVED_MOVE,move, ,1,11,0.360412,2.10487,0.751652,2.43882,0.35,107003457019046,140722033805128,140722033805136,140722033805264,140722033805264,130832008863872,3,140722033806232,n/a,11, 
20260723-001109,server,CLI-20260723-001109,handle_request()RECEIVED_MOVE,move, ,1,2,0,0,1.05552,-1.93569,0,97906979450022,140728769267864,140728769267872,140728769268000,140728769268000,124786389409920,3,140728769268968,n/a,2, 
20260723-001109,server,CLI-20260723-001109,handle_request()RECEIVED_MOVE,move, ,1,3,0,0,1.24794,2.1806,0,97906979450022,140728769267864,140728769267872,140728769268000,140728769268000,124786389409920,3,140728769268968,n/a,3, 
20260723-001109,server,CLI-20260723-001109,handle_request()RECEIVED_MOVE,move, ,1,4,0,0,1.01188,2.5722,0,97906979450022,140728769267864,140728769267872,140728769268000,140728769268000,124786389409920,3,140728769268968,n/a,4, 
20260723-001109,server,CLI-20260723-001109,handle_request()RECEIVED_MOVE,move, ,1,5,0,0,1.09661,-1.30592,0,97906979450022,140728769267864,140728769267872,140728769268000,140728769268000,124786389409920,3,140728769268968,n/a,5, 
20260723-001109,server,CLI-20260723-001109,handle_request()RECEIVED_MOVE,move, ,1,6,0,0,0.556381,1.64143,0,97906979450022,140728769267864,140728769267872,140728769268000,140728769268000,124786389409920,3,140728769268968,n/a,6, 
20260723-001109,server,CLI-20260723-001109,handle_request()RECEIVED_MOVE,move, ,1,7,0,0,0.781975,0.491263,0,97906979450022,140728769267864,140728769267872,140728769268000,140728769268000,124786389409920,3,140728769268968,n/a,7, 
20260723-001109,server,CLI-20260723-001109,handle_request()RECEIVED_MOVE,move, ,1,8,0.70539,0.377392,1.80748,1.0847,0.8,97906979450022,140728769267864,140728769267872,140728769268000,140728769268000,124786389409920,3,140728769268968,n/a,8, 
20260723-001109,server,CLI-20260723-001109,handle_request()RECEIVED_MOVE,move, ,1,9,1.56967,2.01309,0.23829,-1.73904,1.85,97906979450022,140728769267864,140728769267872,140728769268000,140728769268000,124786389409920,3,140728769268968,n/a,9, 
20260723-001109,server,CLI-20260723-001109,handle_request()RECEIVED_MOVE,move, ,1,10,1.52781,1.76662,0.954689,1.87536,0.25,97906979450022,140728769267864,140728769267872,140728769268000,140728769268000,124786389409920,3,140728769268968,n/a,10, 
20260723-001109,server,CLI-20260723-001109,handle_request()RECEIVED_MOVE,move, ,1,11,1.22793,2.7206,1.64249,-1.69226,1,97906979450022,140728769267864,140728769267872,140728769268000,140728769268000,124786389409920,3,140728769268968,n/a,11, 
20260723-001125,server,CLI-20260723-001124,handle_request()RECEIVED_MOVE,move, ,1,2,0,0,0.789907,2.70478,0,97692931423398,140737162384008,140737162384016,140737162384144,140737162384144,128597893963904,3,140737162385112,n/a,2, 
20260723-001125,server,CLI-20260723-001124,handle_request()RECEIVED_MOVE,move, ,1,3,0,0,1.25609,2.56462,0,97692931423398,140737162384008,140737162384016,140737162384144,140737162384144,128597893963904,3,140737162385112,n/a,3, 
