timestamp,source,sessionID,current_function,current_command,filename,parent_id,current_id,x,y,distance,direction,distance_moved,instruction_pointer,stack_pointer,frame_pointer,rax,rbx,rcx,rdx,rsi,obstructed?,call_depth,response_time(ns)
20260723-001040,client,CLI-20260723-001039,move_robot()AFTER_SERVICE_CALL,move, ,1,4,1.54413,1.74777,0.651578,1.70238,0.7,105696227608339,140725946486440,140725946486448,140725946486592,140725946486592,136280149713024,3,140725946487624,success,12,6636103ns
20260723-001040,client,CLI-20260723-001039,move_robot()BEFORE_SERVICE_CALL,move, ,1,5,1.54413,1.74777,1.83426,0.058481,0,105696227608339,140725946486440,140725946486448,140725946486592,140725946486592,136280149713024,3,140725946487624,n/a,14,57ns
20260723-001040,client,CLI-20260723-001039,move_robot()AFTER_SERVICE_CALL,move, ,1,5,3.39097,1.8559,1.83426,0.058481,1.85,105696227608339,140725946486440,140725946486448,140725946486592,140725946486592,136280149713024,3,140725946487624,success,15,2296512ns
20260723-001040,client,CLI-20260723-001039,move_robot()BEFORE_SERVICE_CALL,move, ,1,6,3.39097,1.8559,1.78515,0.490778,0,105696227608339,140725946486440,140725946486448,140725946486592,140725946486592,136280149713024,3,140725946487624,n/a,17,62ns
20260723-001040,client,CLI-20260723-001039,move_robot()AFTER_SERVICE_CALL,move, ,1,6,4.97851,2.70426,1.78515,0.490778,1.8,105696227608339,140725946486440,140725946486448,140725946486592,140725946486592,136280149713024,3,140725946487624,success,18,10536102ns
20260723-001040,client,CLI-20260723-001039,move_robot()BEFORE_SERVICE_CALL,move, ,1,7,4.97851,2.70426,0.705327,-0.771484,0,105696227608339,140725946486440,140725946486448,140725946486592,140725946486592,136280149713024,3,140725946487624,n/a,20,57ns
20260723-001040,client,CLI-20260723-001039,move_robot()AFTER_SERVICE_CALL,move, ,1,7,5.51616,2.18136,0.705327,-0.771484,0.75,105696227608339,140725946486440,140725946486448,140725946486592,140725946486592,136280149713024,3,140725946487624,success,21,8463529ns
20260723-001040,client,CLI-20260723-001039,move_robot()BEFORE_SERVICE_CALL,move, ,1,8,5.51616,2.18136,0.58835,-1.64817,0,105696227608339,140725946486440,140725946486448,140725946486592,140725946486592,136280149713024,3,140725946487624,n/a,23,80ns
20260723-001040,client,CLI-20260723-001039,move_robot()AFTER_SERVICE_CALL,move, ,1,8,5.46979,1.58315,0.58835,-1.64817,0.6,105696227608339,140725946486440,140725946486448,140725946486592,140725946486592,136280149713024,3,140725946487624,success,24,3381878ns
20260723-001040,client,CLI-20260723-001039,move_robot()BEFORE_SERVICE_CALL,move, ,1,9,5.46979,1.58315,1.55037,2.67758,0,105696227608339,140725946486440,140725946486448,140725946486592,140725946486592,136280149713024,3,140725946487624,n/a,26,57ns
